home_team,away_team,home_win_odds,draw_odds,away_win_odds,decimal_odds_home_win,decimal_odds_draw,decimal_odds_away_win,home_win_earnings_per_dollar,draw_earnings_per_dollar,away_win_earnings_per_dollar,implied_probability_of_home_win,implied_probability_of_draw,implied_probability_of_away_win
Japan,Costa Rica,-204,332,647,1.490196078,3.32,6.47,0.490196078,3.32,647,0.671052632,0.301204819,0.154559505
Mexcio,Poland,150,213,214,1.5,2.13,2.14,1.5,2.13,214,0.666666667,0.469483568,0.46728972
Morocco,Croatia,257,227,121,2.57,2.27,1.21,2.57,2.27,121,0.389105058,0.440528634,0.826446281
Portugal,Uruguay,-108,235,349,1.925925926,2.35,3.49,0.925925926,2.35,349,0.519230769,0.425531915,0.286532951
Portugal,Ghana,-312,449,921,1.320512821,4.49,9.21,0.320512821,4.49,921,0.757281553,0.222717149,0.108577633
Portugal,South Korea,-118,284,326,1.847457627,2.84,3.26,0.847457627,2.84,326,0.541284404,0.352112676,0.306748466
Qatar,Netherlands,-476,600,1351,1.210084034,6,13.51,0.210084034,6,1351,0.826388889,0.166666667,0.074019245
Qatar,Senegal,450,260,-137,4.5,2.6,1.729927007,4.5,2.6,0.729927007,0.222222222,0.384615385,0.578059072
Qatar,Ecuador,271,214,124,2.71,2.14,1.24,2.71,2.14,124,0.36900369,0.46728972,0.806451613
Saudi Arabia,Poland,443,264,-137,4.43,2.64,1.729927007,4.43,2.64,0.729927007,0.225733634,0.378787879,0.578059072
Saudi Arabia,Mexico,434,328,-161,4.34,3.28,1.621118012,4.34,3.28,0.621118012,0.230414747,0.304878049,0.616858238
Senegal,Netherlands,509,267,-152,5.09,2.67,1.657894737,5.09,2.67,0.657894737,0.196463654,0.374531835,0.603174603
Serbia,Switzerland,158,236,185,1.58,2.36,1.85,1.58,2.36,185,0.632911392,0.423728814,0.540540541
Serbia,Cameroon,-141,277,430,1.709219858,2.77,4.3,0.709219858,2.77,430,0.585062241,0.36101083,0.23255814
Spain,Germany,154,242,184,1.54,2.42,1.84,1.54,2.42,184,0.649350649,0.41322314,0.543478261
Spain,Japan,-204,349,604,1.490196078,3.49,6.04,0.490196078,3.49,604,0.671052632,0.286532951,0.165562914
Spain,Costa Rica,-625,742,1643,1.16,7.42,16.43,0.16,7.42,1643,0.862068966,0.134770889,0.060864273
Switzerland,Cameroon,-123,245,401,1.81300813,2.45,4.01,0.81300813,2.45,401,0.551569507,0.408163265,0.249376559
Tunisia,Australia,121,231,252,1.21,2.31,2.52,1.21,2.31,252,0.826446281,0.432900433,0.396825397
Uruguay,South Korea,-128,254,409,1.78125,2.54,4.09,0.78125,2.54,409,0.561403509,0.393700787,0.244498778
USA,Wales,147,209,222,1.47,2.09,2.22,1.47,2.09,222,0.680272109,0.4784689,0.45045045
