home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Switzerland,Cameroon,1.0,1.4,,0.0,0.7,,Murat Yakin,Granit Xhaka,Rigobert Song,Eric Maxim Choupo-Moting,Breel Embolo · 48,,39089,"Al Janoub Stadium, Al Wakrah",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),2022-11-24,1–0,Facundo Tello,,,Qatar,2022
Uruguay,Korea Republic,0.0,0.6,,0.0,0.6,,Diego Alonso,Diego Godín,Paulo Bento,Son Heung-min,,,41663,"Education City Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),2022-11-24,0–0,Clément Turpin,,,Qatar,2022
Portugal,Ghana,3.0,2.0,,2.0,0.9,,Fernando Santos,Cristiano Ronaldo,Otto Addo,André Ayew,Cristiano Ronaldo (P) · 65|João Félix · 78|Rafael Leão · 80,André Ayew · 73|Osman Bukari · 89,42662,"Stadium 974, Doha",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Stéphanie Frappart (4th) · Armando Villarreal (VAR),2022-11-24,3–2,Ismail Elfath,,,Qatar,2022
Brazil,Serbia,2.0,2.4,,0.0,0.2,,Tite,Thiago Silva,Dragan Stojković,Dušan Tadić,Richarlison · 62|Richarlison · 73,,88103,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Maguette Ndiaye (4th) · Abdulla Ali Al Marri (VAR),2022-11-24,2–0,Alireza Faghani,,,Qatar,2022
England,United States,0.0,0.8,,0.0,0.6,,Gareth Southgate,Harry Kane,Gregg Berhalter,Tyler Adams,,,68463,"Al Bayt Stadium, Al Khor",Jesús Valenzuela (Referee) · Jorge Urrego (AR1) · Tulio Moreno (AR2) · Yoshimi Yamashita (4th) · Juan Soto (VAR),2022-11-25,0–0,Jesús Valenzuela,,,Qatar,2022
Netherlands,Ecuador,1.0,0.1,,1.0,1.7,,Louis van Gaal,Virgil van Dijk,Gustavo Alfaro,Enner Valencia,Cody Gakpo · 6,Enner Valencia · 49,44833,"Khalifa International Stadium, Doha",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Said Martínez (4th) · Shaun Evans (VAR),2022-11-25,1–1,Mustapha Ghorbal,,,Qatar,2022
Qatar,Senegal,1.0,1.0,,3.0,0.8,,Félix Sánchez,Hassan Al-Haydos,Aliou Cissé,Kalidou Koulibaly,Mohammed Muntari · 78,Boulaye Dia · 41|Famara Diedhiou · 48|Bamba Dieng · 84,41797,"Al Thumama Stadium, ath-Thumāma",Antonio Matéu (Referee) · Pau Cebrián (AR1) · Roberto Díaz (AR2) · Kevin Ortega (4th) · Alejandro Hernández (VAR),2022-11-25,1–3,Antonio Matéu,,,Qatar,2022
Wales,IR Iran,0.0,0.9,,2.0,1.4,,Rob Page,Gareth Bale,Carlos Queiroz,Ehsan Hajsafi,Wayne Hennessey · 86,Roozbeh Cheshmi · 90+9|Ramin Rezaeian · 90+11,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Mario Escobar (Referee) · Caleb Wales (AR1) · Juan Carlos Mora (AR2) · Maguette Ndiaye (4th) · Drew Fischer (VAR),2022-11-25,0–2,Mario Escobar,,,Qatar,2022
Tunisia,Australia,0.0,0.9,,1.0,0.6,,Jalel Kadri,Youssef Msakni,Graham Arnold,Mathew Ryan,,Mitchell Duke · 23,41823,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Rafael Foltyn (AR1) · Jan Seidel (AR2) · Said Martínez (4th) · Bastian Dankert (VAR),2022-11-26,0–1,Daniel Siebert,,,Qatar,2022
Argentina,Mexico,2.0,0.3,,0.0,0.3,,Lionel Scaloni,Lionel Messi,Tata Martino,Andrés Guardado,Lionel Messi · 64|Enzo Fernández · 87,,88966,"Lusail Iconic Stadium, Lusail",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),2022-11-26,2–0,Daniele Orsato,,,Qatar,2022
France,Denmark,2.0,2.4,,1.0,0.6,,Didier Deschamps,Hugo Lloris,Kasper Hjulmand,Kasper Schmeichel,Kylian Mbappé · 61|Kylian Mbappé · 86,Andreas Christensen · 68,42860,"Stadium 974, Doha",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Ma Ning (4th) · Tomasz Kwiatkowski (VAR),2022-11-26,2–1,Szymon Marciniak,,,Qatar,2022
Poland,Saudi Arabia,2.0,1.6,,0.0,1.7,,Czesław Michniewicz,Robert Lewandowski,Hervé Renard,Salem Al-Dawsari,Piotr Zieliński · 39|Robert Lewandowski · 82,,44259,"Education City Stadium, Doha",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Kevin Ortega (4th) · Drew Fischer (VAR),2022-11-26,2–0,Wilton Sampaio,,,Qatar,2022
Spain,Germany,1.0,0.6,,1.0,1.3,,Luis Enrique,Sergio Busquets,Hansi Flick,Manuel Neuer,Álvaro Morata · 62,Niclas Füllkrug · 83,68895,"Al Bayt Stadium, Al Khor",Danny Makkelie (Referee) · Hessel Steegstra (AR1) · Jan de Vries (AR2) · István Kovács (4th) · Pol van Boekel (VAR),2022-11-27,1–1,Danny Makkelie,,,Qatar,2022
Belgium,Morocco,0.0,1.0,,2.0,1.5,,Roberto Martínez,Eden Hazard,Hoalid Regragui,Romain Saïss,,Romain Saïss · 73|Zakaria Aboukhlal · 90+2,43738,"Al Thumama Stadium, ath-Thumāma",César Arturo Ramos (Referee) · Alberto Morín (AR1) · Miguel Ángel Hernández (AR2) · Yoshimi Yamashita (4th) · Fernando Guerrero (VAR),2022-11-27,0–2,César Arturo Ramos,,,Qatar,2022
Japan,Costa Rica,0.0,0.9,,1.0,0.1,,Hajime Moriyasu,Maya Yoshida,Luis Fernando Suárez,Keylor Navas,,Keysher Fuller · 81,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Michael Oliver (Referee) · Stuart Burt (AR1) · Simon Bennett (AR2) · Maguette Ndiaye (4th) · Jérôme Brisard (VAR),2022-11-27,0–1,Michael Oliver,,,Qatar,2022
Croatia,Canada,4.0,2.6,,1.0,0.4,,Zlatko Dalić,Luka Modrić,John Herdman,Atiba Hutchinson,Andrej Kramarić · 36|Marko Livaja · 44|Andrej Kramarić · 70|Lovro Majer · 90+4,Alphonso Davies · 2,44374,"Khalifa International Stadium, Doha",Andrés Matonte (Referee) · Nicolás Tarán (AR1) · Martín Soppi (AR2) · Kevin Ortega (4th) · Mauro Vigliano (VAR),2022-11-27,4–1,Andrés Matonte,,,Qatar,2022
Portugal,Uruguay,2.0,1.3,,0.0,1.3,,Fernando Santos,Cristiano Ronaldo,Diego Alonso,Diego Godín,Bruno Fernandes · 54|Bruno Fernandes (P) · 90+3,,88668,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Abdulrahman Ibrahim Al Jassim (4th) · Abdulla Ali Al Marri (VAR),2022-11-28,2–0,Alireza Faghani,,,Qatar,2022
Brazil,Switzerland,1.0,1.0,,0.0,0.3,,Tite,Thiago Silva,Murat Yakin,Granit Xhaka,Casemiro · 83,,43649,"Stadium 974, Doha",Iván Barton (Referee) · David Morán (AR1) · Zachari Zeegelaar (AR2) · Said Martínez (4th) · Drew Fischer (VAR),2022-11-28,1–0,Iván Barton,,,Qatar,2022
Korea Republic,Ghana,2.0,1.8,,3.0,1.6,,Paulo Bento,Son Heung-min,Otto Addo,André Ayew,Cho Guesung · 58|Cho Guesung · 61|Paulo Bento · 90+11,Mohammed Salisu · 24|Kudus Mohammed · 34|Kudus Mohammed · 68,43983,"Education City Stadium, Doha",Anthony Taylor (Referee) · Gary Beswick (AR1) · Adam Nunn (AR2) · Kevin Ortega (4th) · Tomasz Kwiatkowski (VAR),2022-11-28,2–3,Anthony Taylor,,,Qatar,2022
Cameroon,Serbia,3.0,2.2,,3.0,1.9,,Rigobert Song,Eric Maxim Choupo-Moting,Dragan Stojković,Dušan Tadić,Jean-Charles Castelletto · 29|Vincent Aboubakar · 64|Eric Maxim Choupo-Moting · 66,Strahinja Pavlović · 45+1|Sergej Milinković-Savić · 45+3|Aleksandar Mitrović · 53,39789,"Al Janoub Stadium, Al Wakrah",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Suqatari (AR2) · Ma Ning (4th) · Nicolás Gallo (VAR),2022-11-28,3–3,Mohammed Abdulla Hassan,,,Qatar,2022
IR Iran,United States,0.0,0.8,,1.0,1.1,,Carlos Queiroz,Ehsan Hajsafi,Gregg Berhalter,Tyler Adams,,Christian Pulisic · 38,0,"Al Thumama Stadium, ath-Thumāma",Antonio Matéu (Referee) · Pau Cebrián (AR1) · Roberto Díaz (AR2) · Kevin Ortega (4th) · Juan Martínez (VAR),2022-11-29,0–1,Antonio Matéu,,,Qatar,2022
Wales,England,0.0,0.3,,3.0,2.3,,Rob Page,Gareth Bale,Gareth Southgate,Harry Kane,,Marcus Rashford · 50|Phil Foden · 52|Marcus Rashford · 68,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Slavko Vinčič (Referee) · Tomaž Klančnik (AR1) · Andraž Kovačič (AR2) · Yoshimi Yamashita (4th) · Marco Fritz (VAR),2022-11-29,0–3,Slavko Vinčič,,,Qatar,2022
Ecuador,Senegal,1.0,0.9,,2.0,2.1,,Gustavo Alfaro,Enner Valencia,Aliou Cissé,Kalidou Koulibaly,Moisés Caicedo · 67,Ismaila Sarr (P) · 44|Kalidou Koulibaly · 70,44569,"Khalifa International Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),2022-11-29,1–2,Clément Turpin,,,Qatar,2022
Netherlands,Qatar,2.0,1.6,,0.0,0.1,,Louis van Gaal,Virgil van Dijk,Félix Sánchez,Hassan Al-Haydos,Cody Gakpo · 26|Frenkie de Jong · 49,,66784,"Al Bayt Stadium, Al Khor",Bakary Papa Gassama (Referee) · Elvis Noupue (AR1) · Mahmoud Abo El Regal (AR2) · Ma Ning (4th) · Redouane Jiyed (VAR),2022-11-29,2–0,Bakary Papa Gassama,,,Qatar,2022
Tunisia,France,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Saudi Arabia,Mexico,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Poland,Argentina,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Australia,Denmark,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Costa Rica,Germany,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Japan,Spain,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Croatia,Belgium,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Canada,Morocco,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Cameroon,Brazil,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Serbia,Switzerland,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Ghana,Uruguay,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Korea Republic,Portugal,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
